Company_name,Field,Company_age,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Faurecia,Auto Components ,27,4.0,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,11000,64000,47,26,202
Mercer,Management Consulting ,79,3.8,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",11000,94000,53,35,245
Trident Group,Fashion & Textile ,34,3.5,Salary & Benefits,"Job Security, Company Culture, Work Life Balance",11000,49000,62,6,133
TATA Power,Power ,113,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,11000,66000,107,44,150
Tata Advanced Systems,Defence & Aerospace ,17,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",11000,79000,71,9,142
Suguna Foods,Food Processing ,40,4.1,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,11000,36000,61,13,141
Inox Leisure,Media & Entertainment ,25,4.1,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,11000,42000,43,12,153
Akzo Nobel India,Chemicals ,85,4.1,"Company Culture, Salary & Benefits, Job Security",Promotions / Appraisal,11000,39000,42,13,140
Fabindia,Fashion & Textile ,66,3.9,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,11000,43000,36,5,124
TTEC India,BPO ,40,3.8,Company Culture,"Promotions / Appraisal, Salary & Benefits",11000,4000,87,25,158
ICICI Home Finance,NBFC ,25,3.7,Salary & Benefits,"Work Life Balance, Work Satisfaction",11000,4000,51,1,89
Biocon Limited,Biotechnology ,46,3.9,Job Security,Promotions / Appraisal,11000,108000,106,43,13
Asahi India Glass,Auto Components ,40,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",11000,45000,47,42,139
TCS iON,IT Services & Consulting ,13,3.9,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,11000,45000,210,1,185
Ocwen Financial Solutions,Financial Services ,36,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,1000,56000,35,10,170
Godrej Group,Chemicals ,127,4.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1000,28000,90,13,162
GMR Group,Engineering & Construction ,46,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1000,44000,52,40,189
EPAM Systems,IT Services & Consulting ,31,3.8,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Job Security,1000,119000,177,44,146
